ObjectID,Department,ObjectNumber,PrimaryDisplay,Image File Name,Rank,URL
75,American Decorative Arts,37.15.2,1,110314.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/110314.jpg
78,American Decorative Arts,37.174.1,1,113560.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/113560.jpg
79,American Decorative Arts,37.174.2,1,113560.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/113560.jpg
80,American Decorative Arts,39.184.46,1,120114.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/120114.jpg
81,American Decorative Arts,39.184.47,1,120114.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/120114.jpg
86,American Decorative Arts,41.160.344,1,127219.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/127219.jpg
87,American Decorative Arts,41.160.345,1,127219.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/127219.jpg
88,American Decorative Arts,41.160.346,1,126248.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/126248.jpg
89,American Decorative Arts,41.160.347,1,126248.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/126248.jpg
90,American Decorative Arts,41.160.372,1,127239.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/127239.jpg
91,American Decorative Arts,41.160.373,1,127239.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/127239.jpg
92,American Decorative Arts,46.67.126,1,138510.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/138510.jpg
93,American Decorative Arts,46.67.127,1,138510.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/138510.jpg
94,American Decorative Arts,47.137.1,1,139865.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/139865.jpg
95,American Decorative Arts,47.137.2,1,139865.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/139865.jpg
100,American Decorative Arts,49.73.4,1,144703.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/144703.jpg
101,American Decorative Arts,49.73.5,1,144703.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/144703.jpg
102,American Decorative Arts,1971.180.62a,1,197726.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/197726.jpg
103,American Decorative Arts,1971.180.62b,1,197727.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/197727.jpg
104,American Decorative Arts,1980.499.4,1,224534.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/224534.jpg
105,American Decorative Arts,1980.499.5,1,224534.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/224534.jpg
106,American Decorative Arts,1984.134.1,1,235820.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/235820.jpg
107,American Decorative Arts,1984.134.2,1,235820.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/235820.jpg
108,American Decorative Arts,1989.120.1,0,248480.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/248480.jpg
108,American Decorative Arts,1989.120.1,1,248479.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/248479.jpg
109,American Decorative Arts,1989.120.2,1,248479.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/248479.jpg
110,American Decorative Arts,41.160.374,1,126257.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/126257.jpg
111,American Decorative Arts,41.160.375,1,126257.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/126257.jpg
112,American Decorative Arts,1985.349.1,1,240609.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/240609.jpg
113,American Decorative Arts,1985.349.2,1,240609.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/240609.jpg
114,American Decorative Arts,30.120.89,0,171350.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/171350.jpg
114,American Decorative Arts,30.120.89,1,81081.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/81081.jpg
115,American Decorative Arts,30.120.90,1,81081.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/81081.jpg
116,American Decorative Arts,52.77.60,0,158330.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/158330.jpg
116,American Decorative Arts,52.77.60,1,153671.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/153671.jpg
117,American Decorative Arts,52.77.61,1,153671.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/153671.jpg
119,American Decorative Arts,1971.180.61b,1,197725.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/197725.jpg
120,American Decorative Arts,68.69.17,0,189366.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/189366.jpg
120,American Decorative Arts,68.69.17,1,DP206030.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP206030.jpg
120,American Decorative Arts,68.69.17,0,192974.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/192974.jpg
121,American Decorative Arts,68.69.18,1,189367.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/189367.jpg
121,American Decorative Arts,68.69.18,0,192974.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/192974.jpg
122,American Decorative Arts,64.291.1,1,181517.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/181517.jpg
123,American Decorative Arts,64.291.2,1,181517.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/181517.jpg
124,American Decorative Arts,38.165.24,1,117342.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/117342.jpg
125,American Decorative Arts,38.165.25,1,117343.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/117343.jpg
126,American Decorative Arts,46.67.16,1,138290.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/138290.jpg
127,American Decorative Arts,46.67.17,1,138291.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/138291.jpg
128,American Decorative Arts,46.67.18,1,138292.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/138292.jpg
130,American Decorative Arts,19.171.2,1,45186.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/45186.jpg
131,American Decorative Arts,68.133.7,0,ADA3361.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/ADA3361.jpg
131,American Decorative Arts,68.133.7,0,RRP Int. 2 Ret.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/RRP Int. 2 Ret.jpg
131,American Decorative Arts,68.133.7,0,RRP Int. 3 Ret.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/RRP Int. 3 Ret.jpg
131,American Decorative Arts,68.133.7,0,RRR Int.1 Ret.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/RRR Int.1 Ret.jpg
131,American Decorative Arts,68.133.7,0,MM83530.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/MM83530.jpg
131,American Decorative Arts,68.133.7,1,ADA3687.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3687.jpg
131,American Decorative Arts,68.133.7,0,ADA3688.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3688.jpg
131,American Decorative Arts,68.133.7,0,ADA3741.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3741.jpg
131,American Decorative Arts,68.133.7,0,ADA3742.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3742.jpg
131,American Decorative Arts,68.133.7,0,ADA3743.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3743.jpg
131,American Decorative Arts,68.133.7,0,ADA3700.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3700.jpg
131,American Decorative Arts,68.133.7,0,ADA3701.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3701.jpg
131,American Decorative Arts,68.133.7,0,ADA3702.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3702.jpg
131,American Decorative Arts,68.133.7,0,ADA3703.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3703.jpg
131,American Decorative Arts,68.133.7,0,ADA3704.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3704.jpg
131,American Decorative Arts,68.133.7,0,ADA3689.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/ADA3689.jpg
133,American Decorative Arts,1978.10.1,0,35l.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/35l.jpg
133,American Decorative Arts,1978.10.1,0,1978.10.1.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/1978.10.1.jpg
133,American Decorative Arts,1978.10.1,0,1978.10.1detail.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/1978.10.1detail.jpg
133,American Decorative Arts,1978.10.1,0,1978.10.1wide.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/1978.10.1wide.jpg
133,American Decorative Arts,1978.10.1,0,34l.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/34l.jpg
133,American Decorative Arts,1978.10.1,1,DP131444.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP131444.jpg
133,American Decorative Arts,1978.10.1,0,DP132702.jpg,0,https://images.metmuseum.org/CRDImages/ad/original/DP132702.jpg
134,American Decorative Arts,1972.187.1,0,DP266741.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP266741.jpg
134,American Decorative Arts,1972.187.1,1,DP263972.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP263972.jpg
